French macaroon is so tasty, 2,
work is horrible,1,
I am upset,1,
Good joke,2,
stop messing around,1,
you are failing this exercise,1,
yesterday we lost again,1,
Good job,2,
ha ha ha it was so funny,2,
I want to joke,2,
ha ha ha lol,2,
she said yes,2,
he got a raise,2,
family is all I have,0,
I love to the stars and back,0,
I love to the stars and back,0,
You totally deserve this prize,2,
I miss you so much,0,
I like your jacket ,2,
she got me a present,0,
will you be my valentine,0,
you failed the midterm,1, 
valentine day is near,0,
Great so awesome,2,
he can not do anything,1,
We had such a lovely dinner tonight,0,
he is a good friend,0, 
never talk to me again,1,
i miss her,0, 
I am having fun,2,
So bad that you cannot come with us,1, 
I like to smile,2, 
he did an amazing job,2,
Stop shouting at me,1,
I love taking breaks,0,
You are incredibly intelligent and talented,2,
I am proud of your achievements,2,
So sad you are not coming,1, 
funny,2,
Stop saying bullshit,1,
Bravo for the announcement it got a lot of traction,2,
This specialization is great,2,
I was waiting for her for two hours ,1, 
My grandmother is the love of my life,0,
I will celebrate soon,2,
my code is working but the grader gave me zero,1,
She is the cutest person I have ever seen,0,
he is laughing,2,
I adore my dogs,0,
I love you mum,0, 
great job,2,
How dare you ask that,1,
this guy was such a joke,2,
I love indian food,0,
this is bad,1,
Your stupidity has no limit,1,
I love my dad,0,
Do you want to give me a hug,0,
this girl was mean,1,
I am excited,2,
i miss him,0,
What is wrong with you,1,
they are so kind and friendly,0,
I am so impressed by your dedication to this project,2,
we made it,2,
Sounds like a fun plan ha ha,2,
I am so happy for you,2,
Miss you so much,0,
I love you,0,
this joke is killing me haha,2,
You are not qualified for this position,1,
miss you my dear,0,
I am so excited to see you after so long,2,
he is the best player,1,
What a fun moment,2,
my algorithm performs poorly,1,
Stop shouting at me,1,
her smile is so charming,2,
It is the worst day in my life,1,
he is handsome,0,
no one likes him,1,
she is attractive,0,
It was funny lol,2,
he is so cute,0,
you did well on you exam,2,
I think I will end up alone,1,
too bad that you were not here,1,
I want to go play,1,
you are a loser,1,
I am starving,1,
you suck,1,
Congratulations,2,
you could not solve it,1,
I lost my wallet,1,
she did not answer my text ,1,
That catcher sucks ,1,
I said yes,2,
candy is life ,2,
the game just finished,1,
The first base man got the ball,1,
congratulations on your acceptance,2,
The assignment is too long ,1,
lol,2,
I got humiliated by my sister,1,
the lectures are great though ,2,
you did not do your homework,1,
The baby is adorable,0,
Bravo,2,
I missed you,0,
I am looking for a date,0,
you are awful,1,
she is happy,2,
I am always working,1,
This is so funny,2,
you got a down grade,1,
she smiles a lot,2,
The chicago cubs won again,2,
I got approved,2,
cookies are good,2,
I hate him,1,
I am going to the stadium,2,
I am very disappointed,1,
I am proud of you forever,2,
This girl is messing with me,1,
Congrats on the new job,2,
enjoy your break,2,
go away,1,
I worked during my birthday,1,
Congratulation fon have a baby,2,
I am hungry,1,
She is my dearest love,0,
she is so cute,0,
I love dogs,0,
I did not have breakfast ,1,
my dog just had a few puppies,0,
I like you a lot,0,
he made a home run,2,
I am at the baseball game,2,
are you serious ha ha,2,
I like to laugh,2,
Stop making this joke ha ha ha,2,
you two are cute,0,
This stupid grader is not working ,1,
What you did was awesome,2,
My life is so boring,1,
he did not answer,1,
you brighten my day,2,
I will go dance,2,
dance with me,2,
she is a bully,1,
I like it when people smile,2,
you are greatest, 2,
you are my love,0,
you are my heart, 0,
you are my valentine,0,
you are my sweetheart, 0,
you are sweet , 0,
you are awesome, 2,
i will be superman, 2,
i love steve, 0,
my heart is on you, 0,
my love is you, 0,
you made my life, 0,
i love apple, 0,
i want to kiss you, 0,
kiss me naa baby, 0,
i want to hug you, 0,
hug me naa baby, 0,
thank you for coming in my life, 0,
i will love you forever, 0,
come my sweetheart, 0,
steve jobs is genius, 2, 
i am good for nothing, 1, 
i meet an entrepreneur, 2,
some dogs are behind me, 1,
help me please, 1,
lions are roaming around, 1, 
some girls cheated me, 1,
she hates me, 1,
she loves me, 0, 
wish you happy valentines day,0,
happy honeymoon, 0,
we had a honeymoon last month, 0,
park is filled with flies, 1, 
ohm my god, 1,
wow, 2,
so lovely, 0,
my baby, 0, 
you are my life, 0,
what a pleasant surprize, 2,
i am very happy, 2,
last trip was great, 2,
so sweet honey, 0,
will you be my life partner, 0,
i never saw a train, 1, 
i was caught by police, 1,
i am on fire, 1, 
this painting is lovely, 0,
this work is awesome, 2,
wow our american trip, 2,